ticket_id,team_id,ticket_date,resolution_date,client_id
158,3,2023-03-15,2023-04-06,869
159,3,2023-02-15,2023-03-10,386
160,2,2023-08-09,2023-09-03,888
161,3,2023-08-09,2023-09-07,27
162,2,2023-10-26,2023-11-15,76
163,2,2023-10-28,2023-11-21,580
164,3,2023-04-10,2023-05-02,216
165,3,2023-08-14,2023-09-04,200
166,1,2023-02-15,2023-02-19,289
167,3,2023-02-01,2023-02-16,719
168,3,2023-07-04,2023-07-17,545
169,3,2023-05-28,2023-06-20,967
170,1,2023-06-13,2023-07-04,647
171,3,2023-02-21,2023-03-09,131
172,2,2023-11-27,,19
173,3,2023-04-07,2023-04-08,310
174,1,2023-01-03,,148
175,1,2023-11-07,2023-11-17,405
176,3,2023-09-19,2023-09-22,342
177,2,2023-10-23,2023-10-31,685
178,2,2023-05-29,2023-06-19,659
179,2,2023-05-03,2023-05-24,468
180,3,2023-11-19,2023-12-16,582
181,2,2023-05-22,2023-05-31,58
182,2,2023-03-09,2023-03-28,212
183,2,2023-01-06,2023-01-15,323
184,1,2023-05-13,2023-06-05,832
185,1,2023-04-10,2023-05-08,914
186,1,2023-05-18,2023-06-06,857
187,1,2023-07-21,2023-08-18,416
188,2,2023-11-06,2023-11-24,502
189,2,2023-08-18,2023-08-19,551
190,2,2023-05-31,2023-06-28,917
191,3,2023-07-03,2023-07-10,170
192,2,2023-02-06,,655
193,3,2023-08-29,2023-09-05,509
194,3,2023-06-02,2023-06-11,234
195,3,2023-09-15,2023-09-18,726
196,1,2023-04-27,2023-05-06,119
197,2,2023-11-10,2023-12-05,289
198,1,2023-03-24,2023-04-20,615
199,3,2023-04-14,2023-05-05,381
200,1,2023-12-08,2023-12-30,555
201,2,2023-07-31,2023-08-01,898
202,2,2023-01-26,2023-02-03,89
203,2,2023-05-15,2023-06-07,780
204,1,2023-05-27,2023-06-26,968
205,2,2023-12-01,2023-12-04,576
206,3,2023-12-25,2024-01-15,279
207,2,2023-01-04,2023-01-27,49
208,3,2023-06-26,2023-07-25,995
209,3,2023-09-28,2023-10-05,979
210,3,2023-04-24,2023-05-15,419
211,2,2023-04-30,2023-05-15,476
212,1,2023-01-23,2023-01-29,871
213,3,2023-06-25,2023-07-19,28
214,2,2023-04-01,2023-04-07,694
215,1,2023-04-27,2023-05-09,772
216,3,2023-04-29,,727
217,2,2023-05-09,2023-06-05,340
218,1,2023-03-08,2023-03-24,631
219,3,2023-01-31,2023-02-09,623
220,1,2023-09-05,2023-09-15,317
221,2,2023-06-19,,619
222,3,2023-01-24,2023-02-18,558
223,3,2023-10-27,2023-11-09,909
224,1,2023-04-20,2023-05-15,855
225,3,2023-03-12,2023-04-09,303
226,2,2023-01-08,2023-01-24,960
227,1,2023-01-07,2023-01-21,845
228,2,2023-01-16,2023-02-07,804
229,3,2023-11-15,2023-11-20,773
230,1,2023-05-05,,341
231,1,2023-12-07,2023-12-18,917
232,3,2023-06-24,2023-07-12,79
233,3,2023-01-03,2023-01-09,865
234,3,2023-07-07,2023-07-11,207
235,1,2023-01-10,2023-01-31,622
236,2,2023-09-29,2023-10-02,522
237,3,2023-09-07,2023-09-14,470
238,3,2023-05-28,2023-06-04,59
239,3,2023-07-23,2023-08-06,937
240,1,2023-02-28,2023-03-03,571
241,1,2023-09-16,2023-09-22,212
242,2,2023-04-18,2023-05-17,142
243,1,2023-03-03,2023-03-24,992
244,3,2023-09-19,2023-10-17,376
245,1,2023-12-05,2024-01-01,704
246,2,2023-04-07,2023-04-27,800
247,1,2023-11-06,2023-11-14,635
248,2,2023-12-12,2024-01-07,917
249,3,2023-01-29,2023-02-01,216
250,1,2023-12-06,,763
251,2,2023-02-09,2023-03-05,937
252,2,2023-03-03,2023-03-18,448
253,3,2023-07-01,2023-07-06,611
254,2,2023-02-25,2023-03-23,169
255,2,2023-11-28,2023-12-07,696
256,1,2023-12-24,2023-12-29,380
257,1,2023-06-16,2023-07-08,96
258,2,2023-02-18,2023-03-19,346
259,1,2023-12-09,,171
260,3,2023-04-21,2023-05-21,25
261,2,2023-09-18,2023-10-01,342
262,2,2023-02-21,2023-02-28,313
263,2,2023-08-03,2023-09-02,290
264,3,2023-11-17,,80
265,1,2023-12-30,2024-01-07,747
266,1,2023-05-30,2023-06-03,236
267,2,2023-04-29,2023-05-18,633
268,3,2023-09-03,2023-09-26,635
269,2,2023-03-06,2023-03-31,346
270,3,2023-12-06,2023-12-07,759
271,2,2023-08-28,2023-09-12,410
272,2,2023-05-06,2023-05-09,576
273,3,2023-03-10,2023-04-04,238
274,1,2023-01-17,2023-02-01,156
275,1,2023-04-07,2023-04-10,270
276,3,2023-12-24,2024-01-15,274
277,3,2023-12-25,2024-01-09,809
278,2,2023-03-03,2023-04-02,193
279,3,2023-11-17,2023-11-22,917
280,1,2023-03-27,2023-04-12,845
281,2,2023-05-17,2023-05-30,752
282,3,2023-08-06,2023-08-28,762
283,3,2023-04-21,2023-04-29,684
284,3,2023-12-12,2023-12-17,843
285,2,2023-11-05,2023-11-17,953
286,2,2023-10-28,2023-11-07,816
287,3,2023-03-04,2023-03-12,537
288,2,2023-09-20,2023-10-09,217
289,3,2023-12-20,2023-12-28,236
290,2,2023-07-12,2023-07-16,200
291,1,2023-12-07,2023-12-26,663
292,1,2023-08-27,2023-08-28,273
293,1,2023-09-07,,138
294,1,2023-10-16,,271
295,1,2023-06-17,,343
296,3,2023-10-31,2023-11-16,687
297,1,2023-03-20,2023-04-17,33
298,2,2023-06-01,2023-06-16,790
299,1,2023-12-09,2023-12-12,525
300,1,2023-08-28,2023-09-01,968
301,1,2023-02-28,2023-03-05,189
302,2,2023-07-02,2023-07-20,133
303,1,2023-05-16,2023-06-01,562
304,3,2023-01-06,2023-01-07,201
305,1,2023-11-24,2023-12-12,383
306,1,2023-11-01,2023-11-24,718
307,3,2023-07-10,2023-08-05,724
308,3,2023-04-11,2023-04-27,593
309,2,2023-08-30,2023-09-27,864
310,3,2023-06-10,2023-06-24,559
311,1,2023-08-18,2023-09-14,739
312,2,2023-06-21,2023-07-12,948
313,1,2023-09-24,,848
314,3,2023-05-14,2023-06-11,61
315,2,2023-12-16,,360
316,1,2023-11-23,,267
317,3,2023-10-15,2023-11-06,981
318,2,2023-07-01,2023-07-07,408
319,3,2023-08-19,2023-09-10,186
320,3,2023-04-20,2023-05-12,55
321,2,2023-09-16,2023-10-05,573
322,2,2023-09-20,2023-09-27,901
323,3,2023-05-10,2023-05-17,600
324,3,2023-12-19,2024-01-16,878
325,3,2023-11-08,2023-11-24,124
326,2,2023-09-24,2023-10-11,431
327,3,2023-08-09,2023-08-23,462
328,2,2023-08-04,2023-08-12,774
329,1,2023-11-28,2023-12-26,978
330,3,2023-09-24,2023-09-26,769
331,3,2023-04-03,2023-04-26,944
332,1,2023-07-29,2023-08-26,473
333,2,2023-02-22,,994
334,2,2023-06-27,2023-06-30,180
335,1,2023-10-11,2023-10-28,814
336,3,2023-09-07,2023-10-01,182
337,3,2023-05-22,2023-06-03,723
338,2,2023-05-24,2023-06-09,342
339,3,2023-07-24,2023-08-13,662
340,3,2023-06-23,2023-07-19,352
341,1,2023-05-08,,517
342,2,2023-01-17,2023-02-05,23
343,1,2023-11-23,,202
344,3,2023-10-12,2023-11-08,703
345,1,2023-12-05,2023-12-22,456
346,3,2023-12-05,2023-12-08,910
347,3,2023-01-30,,54
348,3,2023-12-17,2024-01-01,437
349,2,2023-11-03,2023-11-29,468
350,2,2023-02-22,2023-03-14,921
351,3,2023-10-05,2023-11-01,560
352,2,2023-10-28,2023-11-27,28
353,3,2023-12-28,2023-12-29,556
354,2,2023-11-22,,151
355,1,2023-01-31,,471
356,1,2023-06-06,,438
357,2,2023-09-27,2023-10-12,535
358,2,2023-05-25,,590
359,3,2023-07-22,2023-07-24,76
360,2,2023-12-15,2024-01-04,982
361,3,2023-09-26,2023-10-04,702
362,3,2023-02-21,2023-03-22,105
363,3,2023-11-17,2023-12-14,879
364,3,2023-10-15,2023-10-28,551
365,2,2023-12-09,2024-01-06,920
366,1,2023-12-11,2023-12-22,822
367,2,2023-02-25,2023-03-04,946
368,1,2023-11-12,2023-12-10,687
369,1,2023-10-17,2023-11-10,672
370,2,2023-12-11,2024-01-10,225
371,2,2023-09-21,2023-10-05,958
372,1,2023-04-01,2023-04-07,657
373,2,2023-03-04,2023-03-30,224
374,3,2023-02-25,2023-03-24,448
375,3,2023-11-03,2023-11-14,466
376,2,2023-11-26,2023-12-07,211
377,1,2023-03-04,2023-03-15,622
378,2,2023-02-14,2023-03-11,499
379,1,2023-07-22,2023-08-06,734
380,2,2023-11-25,2023-11-27,779
381,1,2023-10-30,2023-11-11,249
382,1,2023-08-01,2023-08-24,954
383,3,2023-04-13,2023-04-23,242
384,2,2023-04-26,2023-05-17,535
385,2,2023-05-03,2023-05-29,745
386,2,2023-09-28,2023-10-16,977
387,1,2023-07-11,,768
388,1,2023-05-26,2023-06-03,633
389,3,2023-03-19,2023-04-16,425
390,3,2023-01-09,2023-02-06,635
391,3,2023-10-13,2023-10-20,405
392,2,2023-07-07,2023-07-28,985
393,1,2023-08-10,,248
394,1,2023-12-01,2023-12-18,673
395,1,2023-07-05,2023-08-02,231
396,2,2023-04-01,2023-05-01,607
397,1,2023-10-04,2023-10-22,434
398,1,2023-07-08,2023-07-22,39
399,3,2023-04-18,2023-04-30,681
400,3,2023-04-05,2023-04-26,983
401,2,2023-03-30,,153
402,2,2023-12-09,2023-12-26,937
403,3,2023-01-22,2023-01-28,38
404,2,2023-02-23,2023-03-25,48
405,3,2023-01-10,2023-02-09,972
406,2,2023-05-26,2023-06-24,467
407,2,2023-04-28,2023-05-19,619
408,2,2023-07-26,2023-08-23,270
409,1,2023-05-02,,130
410,1,2023-02-11,2023-02-21,717
411,2,2023-08-20,2023-09-11,402
412,1,2023-10-07,2023-10-20,762
413,2,2023-04-14,2023-05-03,694
414,2,2023-02-10,2023-02-17,610
415,2,2023-04-11,,208
416,2,2023-02-12,,747
417,1,2023-03-26,2023-04-17,117
418,1,2023-10-05,,390
419,1,2023-12-03,2023-12-16,423
420,3,2023-06-07,2023-06-09,381
421,3,2023-06-13,2023-06-30,982
422,3,2023-06-02,2023-06-09,815
423,1,2023-04-11,2023-05-10,299
424,2,2023-05-04,2023-05-30,50
425,1,2023-01-09,2023-01-19,863
426,1,2023-02-09,2023-02-14,328
427,3,2023-04-25,2023-05-07,960
428,1,2023-01-26,2023-02-14,175
429,1,2023-10-01,2023-10-21,260
430,3,2023-02-10,2023-02-11,456
431,1,2023-06-18,2023-07-03,567
432,1,2023-05-29,2023-06-15,220
433,2,2023-10-29,2023-11-26,3
434,3,2023-09-24,2023-10-05,469
435,2,2023-02-08,2023-03-02,314
436,1,2023-05-05,,738
437,1,2023-10-28,2023-11-08,643
438,2,2023-05-23,2023-06-20,791
439,2,2023-03-02,2023-03-13,940
440,2,2023-02-17,2023-03-03,240
441,3,2023-09-14,2023-10-12,205
442,2,2023-05-20,2023-06-18,1000
443,2,2023-06-29,2023-07-22,15
444,3,2023-06-02,,556
445,2,2023-11-25,2023-12-09,670
446,3,2023-12-16,,243
447,1,2023-05-14,2023-05-17,52
448,3,2023-09-21,2023-10-20,466
449,3,2023-09-19,2023-10-13,337
450,3,2023-11-19,2023-12-01,657
451,2,2023-09-19,2023-09-22,596
452,3,2023-10-05,,756
453,2,2023-11-22,2023-12-01,343
454,1,2023-10-04,2023-10-21,173
455,1,2023-03-01,2023-03-11,842
456,1,2023-12-25,2024-01-10,475
457,3,2023-10-14,2023-10-25,905
458,2,2023-08-31,2023-09-29,811
459,3,2023-12-15,2024-01-08,673
460,1,2023-01-02,,560
461,1,2023-04-12,2023-04-27,737
462,3,2023-11-02,2023-11-24,781
463,1,2023-01-17,2023-02-16,659
464,1,2023-03-30,2023-04-12,351
465,1,2023-08-28,2023-09-24,513
466,3,2023-12-26,2024-01-20,854
467,1,2023-03-16,2023-03-19,156
468,2,2023-04-11,,851
469,1,2023-08-17,2023-08-22,939
470,3,2023-10-06,2023-10-19,649
471,1,2023-05-12,2023-06-02,985
472,2,2023-05-19,2023-05-24,443
473,2,2023-11-02,2023-11-04,915
474,3,2023-02-25,2023-03-17,396
475,2,2023-08-31,2023-09-10,538
476,2,2023-06-09,2023-06-15,474
477,1,2023-05-05,2023-05-06,412
478,1,2023-12-27,2024-01-03,302
479,2,2023-09-11,2023-09-23,467
480,2,2023-06-07,2023-07-07,11
481,2,2023-07-23,2023-08-02,746
482,2,2023-10-09,2023-11-01,747
483,2,2023-04-08,2023-04-10,477
484,3,2023-07-15,2023-08-06,923
485,2,2023-12-01,2023-12-10,842
486,2,2023-08-20,2023-09-10,263
487,1,2023-09-05,2023-09-28,790
488,1,2023-07-07,2023-07-12,855
489,3,2023-07-15,2023-07-30,796
490,1,2023-05-17,2023-05-18,122
491,2,2023-03-17,2023-04-13,239
492,1,2023-02-23,2023-03-01,66
493,2,2023-08-13,2023-08-29,445
494,3,2023-01-17,2023-02-05,83
495,3,2023-04-05,2023-04-10,780
496,3,2023-08-03,2023-08-28,349
497,3,2023-03-18,2023-04-08,833
498,1,2023-10-22,2023-11-01,27
499,2,2023-08-15,2023-09-11,654
500,2,2023-08-10,2023-08-27,408
501,1,2023-03-27,2023-03-31,619
502,1,2023-06-09,2023-06-29,293
503,3,2023-08-13,,585
504,1,2023-01-01,,538
505,3,2023-08-08,,798
506,3,2023-09-16,2023-09-21,819
507,2,2023-04-02,2023-04-26,8
508,3,2023-02-09,2023-03-05,410
509,1,2023-03-05,2023-03-11,340
510,2,2023-03-03,2023-03-24,735
511,3,2023-07-16,2023-07-28,339
512,1,2023-05-27,2023-06-16,364
513,1,2023-03-16,2023-03-19,229
514,2,2023-10-24,2023-11-18,105
515,3,2023-08-14,2023-08-17,13
516,1,2023-06-19,2023-06-26,964
517,2,2023-08-26,2023-08-27,999
518,2,2023-11-20,2023-11-30,274
519,2,2023-05-02,2023-05-08,149
520,2,2023-09-02,2023-09-17,604
521,3,2023-07-26,2023-08-04,356
522,3,2023-05-08,2023-05-31,867
523,1,2023-07-21,2023-07-28,951
524,2,2023-07-17,2023-08-14,816
525,3,2023-01-13,2023-01-21,150
526,3,2023-07-19,2023-07-27,995
527,2,2023-03-30,2023-04-20,280
528,1,2023-04-30,,743
529,3,2023-09-24,2023-09-25,369
530,2,2023-07-05,2023-07-13,721
531,1,2023-06-11,2023-07-08,244
532,2,2023-02-06,2023-02-09,68
533,3,2023-02-18,2023-03-17,818
534,3,2023-05-24,2023-06-05,209
535,1,2023-07-17,2023-08-16,955
536,1,2023-04-17,2023-04-28,329
537,2,2023-08-05,,306
538,2,2023-04-02,2023-04-06,252
539,1,2023-01-03,2023-01-17,339
540,3,2023-07-15,2023-07-19,3
541,3,2023-02-22,2023-03-18,868
542,3,2023-06-03,2023-06-29,648
543,1,2023-03-28,2023-03-29,707
544,2,2023-02-05,2023-02-06,41
545,3,2023-10-27,,654
546,2,2023-04-21,2023-05-17,529
547,3,2023-11-04,2023-11-30,662
548,3,2023-03-05,2023-03-29,335
549,2,2023-09-27,2023-10-04,938
550,1,2023-10-20,2023-10-22,767
551,3,2023-09-25,2023-10-14,125
552,3,2023-12-14,,137
553,2,2023-10-19,2023-10-26,964
554,2,2023-01-17,2023-02-14,657
555,2,2023-05-02,2023-05-05,718
556,1,2023-04-08,2023-04-25,500
557,2,2023-10-27,2023-11-08,163
558,3,2023-05-26,,30
559,2,2023-03-10,2023-04-01,46
560,1,2023-05-01,2023-05-23,868
561,2,2023-01-17,2023-02-10,934
562,1,2023-12-13,2024-01-03,18
563,3,2023-02-11,,333
564,3,2023-07-29,2023-07-30,189
565,1,2023-02-05,2023-02-24,302
566,3,2023-11-13,2023-12-12,583
567,2,2023-11-06,2023-11-10,576
568,3,2023-09-07,2023-10-01,976
569,1,2023-08-17,2023-09-15,645
570,3,2023-05-17,2023-05-23,107
571,1,2023-07-15,2023-07-16,914
572,3,2023-11-05,,445
573,3,2023-12-14,2023-12-30,609
574,1,2023-09-09,2023-09-24,968
575,2,2023-09-13,2023-09-28,609
576,1,2023-02-14,2023-02-25,903
577,1,2023-05-25,2023-06-15,863
578,3,2023-02-16,2023-03-04,684
579,3,2023-10-09,2023-10-29,569
580,2,2023-12-12,2023-12-15,618
581,2,2023-12-31,2024-01-05,3
582,1,2023-02-28,2023-03-21,648
583,3,2023-09-05,2023-09-21,772
584,2,2023-05-17,2023-06-16,700
585,1,2023-12-19,2023-12-23,891
586,1,2023-06-01,,878
587,1,2023-09-06,2023-09-29,337
588,3,2023-04-03,2023-04-05,760
589,3,2023-12-05,2023-12-16,925
590,1,2023-12-28,2024-01-04,518
591,3,2023-05-26,2023-06-01,178
592,2,2023-08-09,2023-09-01,66
593,2,2023-04-06,2023-05-06,194
594,1,2023-03-11,,819
595,3,2023-09-27,2023-10-14,120
596,2,2023-07-10,2023-07-11,185
597,1,2023-08-23,2023-08-27,876
598,1,2023-12-11,2024-01-08,616
599,3,2023-01-08,,420
600,1,2023-09-14,2023-10-03,177
601,2,2023-09-29,2023-10-29,716
602,2,2023-10-10,2023-10-29,522
603,3,2023-10-31,2023-11-17,221
604,3,2023-08-04,2023-09-01,803
605,3,2023-07-08,2023-08-07,291
606,2,2023-03-20,2023-04-19,668
607,1,2023-09-14,2023-09-27,5
608,2,2023-04-16,2023-05-03,658
609,2,2023-05-18,2023-06-10,892
610,2,2023-05-23,2023-05-26,956
611,2,2023-02-12,2023-03-09,790
612,3,2023-02-19,2023-02-20,703
613,1,2023-06-30,2023-07-02,772
614,3,2023-05-05,2023-05-18,593
615,1,2023-11-30,2023-12-27,860
616,1,2023-04-03,2023-04-18,971
617,1,2023-09-29,2023-10-05,742
618,2,2023-11-24,2023-12-03,786
619,3,2023-07-12,2023-07-23,727
620,1,2023-03-18,2023-03-20,208
621,2,2023-01-14,2023-02-02,408
622,3,2023-01-30,,257
623,1,2023-09-19,2023-09-30,410
624,2,2023-09-16,2023-10-08,836
625,3,2023-02-01,2023-02-02,545
626,1,2023-04-17,,226
627,1,2023-09-12,2023-10-01,930
628,1,2023-05-14,2023-05-19,971
629,1,2023-12-02,2023-12-31,61
630,1,2023-01-08,2023-01-30,464
631,2,2023-10-06,2023-10-31,411
632,1,2023-09-05,2023-09-24,381
633,3,2023-05-04,2023-05-28,408
634,3,2023-06-20,2023-07-09,327
635,3,2023-11-26,2023-12-08,201
636,3,2023-06-10,2023-07-03,109
637,2,2023-08-04,2023-08-27,78
638,2,2023-12-17,2024-01-15,364
639,3,2023-08-19,,402
640,1,2023-08-07,2023-08-10,691
641,1,2023-10-12,2023-10-19,937
642,3,2023-05-30,2023-06-01,765
643,2,2023-12-11,2023-12-31,368
644,2,2023-02-08,2023-03-09,88
645,2,2023-02-11,2023-03-06,880
646,1,2023-11-11,2023-11-14,562
647,2,2023-05-11,2023-06-07,157
648,2,2023-12-14,2023-12-26,662
649,1,2023-08-10,2023-08-12,487
650,1,2023-11-13,2023-11-20,328
651,1,2023-09-25,2023-10-22,844
652,3,2023-05-02,2023-05-14,340
653,1,2023-02-03,2023-02-25,991
654,2,2023-06-25,2023-07-02,636
655,1,2023-01-17,2023-02-13,989
656,1,2023-01-25,2023-01-27,921
657,3,2023-04-28,2023-05-16,928
658,2,2023-08-15,2023-09-06,799
659,2,2023-01-23,2023-02-11,277
660,1,2023-11-16,2023-12-08,775
661,3,2023-08-15,2023-08-16,727
662,3,2023-09-11,2023-10-08,602
663,2,2023-04-27,2023-05-05,500
664,1,2023-01-19,,315
665,3,2023-07-07,2023-07-23,489
666,2,2023-10-30,2023-11-15,616
667,2,2023-09-27,2023-10-08,456
668,2,2023-11-30,2023-12-20,749
669,3,2023-12-26,2024-01-11,35
670,1,2023-09-20,2023-10-11,985
671,1,2023-11-27,2023-12-04,85
672,2,2023-11-20,2023-11-27,25
673,3,2023-07-08,2023-08-06,625
674,1,2023-09-03,2023-10-03,672
675,2,2023-08-18,2023-09-10,264
676,1,2023-03-14,2023-04-10,617
677,2,2023-11-08,,651
678,2,2023-04-08,,878
679,1,2023-09-17,2023-10-12,51
680,1,2023-06-05,2023-06-13,209
681,1,2023-05-19,2023-06-13,818
682,1,2023-09-17,2023-09-19,638
683,1,2023-05-14,2023-05-18,93
684,3,2023-07-04,2023-07-11,233
685,1,2023-12-15,2024-01-12,1000
686,3,2023-02-12,2023-02-23,546
687,3,2023-11-12,2023-12-11,567
688,3,2023-07-17,2023-07-27,252
689,1,2023-10-08,2023-10-15,344
690,3,2023-10-01,2023-10-18,461
691,3,2023-04-10,2023-04-14,923
692,1,2023-04-21,2023-05-01,201
693,3,2023-06-03,2023-06-06,87
694,1,2023-09-18,2023-10-08,328
695,2,2023-01-15,2023-01-20,562
696,3,2023-04-07,2023-04-16,796
697,2,2023-01-28,2023-01-30,581
698,1,2023-02-12,2023-02-28,27
699,2,2023-01-17,,169
700,3,2023-04-20,2023-05-07,519
701,1,2023-07-22,2023-07-30,471
702,2,2023-03-15,2023-04-14,889
703,1,2023-01-27,2023-02-16,258
704,1,2023-05-19,2023-06-05,202
705,3,2023-09-24,,387
706,2,2023-03-24,2023-04-18,701
707,2,2023-06-16,2023-06-27,724
708,3,2023-05-18,2023-05-19,246
709,2,2023-03-03,2023-03-17,943
710,3,2023-09-14,2023-10-02,820
711,1,2023-10-24,2023-11-01,995
712,1,2023-10-28,2023-10-31,26
713,1,2023-12-19,2024-01-06,153
714,3,2023-08-08,2023-08-09,624
715,2,2023-10-11,2023-10-31,44
716,1,2023-12-13,2023-12-16,794
717,2,2023-09-05,2023-10-01,328
718,3,2023-03-08,2023-03-22,907
